Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2024-07-25;81,1401;82,5246;80,0935;82,2798;;
2024-07-24;81,2851;82,2002;80,9462;81,576;;
2024-07-23;82,4333;82,7749;80,5229;81,41;;
2024-07-22;83,1907;83,1907;81,6032;82,3344;;
2024-07-19;84,7472;85,346;82,5762;82,8358;;
2024-07-18;85,5648;85,8092;84,2435;84,5556;;
2024-07-17;83,7078;85,161;83,4446;85,0499;;
2024-07-16;84,5417;84,5423;83,3349;83,8045;;
2024-07-15;85,175;85,2642;84,4287;84,8767;;
2024-07-12;85,7745;86,3447;84,9547;85,0507;;
2024-07-11;85,7863;85,8085;84,6598;85,7634;;
2024-07-10;84,1189;85,6439;84,0042;85,3714;;
2024-07-09;85,9371;85,9371;84,5474;84,79;;
2024-07-08;86,3216;86,4151;85,5637;85,6539;;
2024-07-05;87,1854;87,9446;86,4981;86,6495;;
2024-07-04;86,9304;87,5767;86,5146;87,4234;;
2024-07-03;86,7644;87,3797;85,9005;87,1932;;
2024-07-02;86,9534;87,4353;86,1809;86,4444;;
2024-07-01;85,3853;86,8643;85,1974;86,7566;;
2024-06-28;85,859;86,175;84,5414;84,9453;;
2024-06-27;84,4214;85,5546;84,2736;85,3527;;
2024-06-26;84,7579;85,0251;83,7339;84,2146;;
2024-06-25;85,2556;85,2736;84,0741;84,2096;;
2024-06-24;85,3069;86,1552;84,7845;86,0537;;
2024-06-21;85,7406;86,2309;84,8484;85,1474;;
2024-06-20;85,278;85,9275;84,9647;85,7941;;
2024-06-19;85,163;85,8266;84,9177;85,0535;;
2024-06-18;84,3133;85,4239;83,6793;85,2977;;
2024-06-17;82,4149;84,516;82,1097;84,3923;;
2024-06-14;82,4786;83,385;82,1646;82,7299;;
2024-06-13;82,5879;83,0343;81,804;82,2571;;
2024-06-12;82,5383;83,3349;82,005;82,4298;;
2024-06-11;81,5603;82,3448;81,2157;81,8545;;
2024-06-10;80,1089;81,8545;79,4644;81,7843;;
2024-06-07;80,0491;80,3705;79,3227;79,401;;
2024-06-06;78,7971;80,0763;78,4236;79,8912;;
2024-06-05;77,6067;78,557;77,1762;78,4672;;
2024-06-04;77,801;77,8742;76,7626;77,5414;;
2024-06-03;80,9555;81,4347;78,1135;78,1556;;
2024-05-31;82,015;82,6752;80,761;81,2795;;
2024-05-30;83,2799;83,4976;81,8542;81,9451;;
2024-05-29;84,2785;84,7043;83,1443;83,1646;;
2024-05-28;82,9121;84,2853;82,774;84,2342;;
2024-05-27;82,2183;82,955;81,8711;82,8314;;
2024-05-24;81,1617;82,1555;80,4447;81,8851;;
2024-05-23;81,2364;82,6897;80,7057;81,0864;;
2024-05-22;82,2345;82,3573;81,3959;81,4314;;
2024-05-21;83,3418;83,3559;82,0563;82,8674;;
2024-05-20;84,3484;84,4761;83,1374;83,6869;;
2024-05-17;83,8995;84,0689;83,0848;83,9443;;
2024-05-16;83,3212;83,7647;82,3152;83,332;;
2024-05-15;82,9979;83,0217;81,0594;82,9742;;
2024-05-14;83,5761;83,5848;82,1247;82,4547;;
2024-05-13;82,6798;83,8296;82,5984;83,4857;;
2024-05-10;84,497;84,5252;82,765;82,8601;;
2024-05-09;83,9805;84,3363;83,4644;84,2013;;
2024-05-08;82,7964;83,8152;81,7495;83,7556;;
2024-05-07;83,6906;83,7852;82,4204;83,209;;
